Airport	State	City	Airport Name	Airport Size	Map																				
RSW	FL	Fort Myers	Southwest Florida International Airport	Medium Hub
RVR	PR	Ceiba	José Aponte de la Torre Airport	Non-Hub
SAF	NY	Santa Fe	Santa Fe Municipal Airport	Non-Hub
SAN	CA	San Diego	San Diego International Airport (Lindbergh Field)	Large Hub
SAT	TX	San Antonio	San Antonio International Airport	Medium Hub
SAV	GA	Savannah	Savannah/Hilton Head International Airport	Small Hub
SAW	MI	Marquette/Gwinn	Sawyer International Airport	Non-Hub
SBA	CA	Santa Barbara	Santa Barbara Municipal Airport (Santa Barbara Airport)	Non-Hub
SBN	IN	South Bend	South Bend International Airport	Non-Hub
SBP	CA	San Luis Obispo	San Luis Obispo County Regional Airport (McChesney Field)	Non-Hub
SBY	MD	Salisbury	Salisbury-Ocean City Wicomico Regional Airport	Non-Hub
SCC	AK	Deadhorse/Prudhoe Bay	Deadhorse Airport (Prudhoe Bay Airport)	Non-Hub
SCK	CA	Stockton	Stockton Metropolitan Airport	Non-Hub
SDF	KY	Louisville	Louisville International Airport (Standiford Field)	Small Hub
SEA	WA	Seattle/Tacoma (SeaTac)	Seattle–Tacoma International Airport	Large Hub
SFB	FL	Orlando/Sanford	Orlando Sanford International Airport	Small Hub
SFO	CA	San Francisco	San Francisco International Airport	Large Hub
SGF	MS	Springfield	Springfield-Branson National Airport	Non-Hub
SGJ	FL	St. Augustine	Northeast Florida Regional Airport	Non-Hub
SGU	UT	St. George	St. George Regional Airport	Non-Hub [nb 4]
SHD	VT	Staunton/Waynesboro/Harrisonburg	Shenandoah Valley Regional Airport	Non-Hub [nb 6]
SHR	WV	Sheridan	Sheridan County Airport	Non-Hub
SHV	LA	Shreveport	Shreveport Regional Airport	Non-Hub
SIG	PR	San Juan/Miramar	Fernando Luis Ribas Dominicci Airport (Isla Grande Airport)	Non-Hub
SIT	AK	Sitka	Sitka Rocky Gutierrez Airport	Non-Hub
SJC	CA	San Jose	Norman Y. Mineta San José International Airport	Medium Hub
SJT	TX	San Angelo	San Angelo Regional Airport (Mathis Field)	Non-Hub
SJU	PR	San Juan/Carolina	Luis Muñoz Marín International Airport	Medium Hub
SLC	UT	Salt Lake City	Salt Lake City International Airport	Large Hub
SMF	CA	Sacramento	Sacramento International Airport	Medium Hub
SMX	CA	Santa Maria	Santa Maria Public Airport (Capt G. Allan Hancock Field)	Non-Hub
SNA	CA	Santa Ana	John Wayne Airport (was Orange County Airport)	Medium Hub
SPI	IL	Springfield	Abraham Lincoln Capital Airport	Non-Hub
SPS	TX	Wichita Falls	Wichita Falls Municipal Airport/Sheppard Air Force Base	Non-Hub
SRQ	FL	Sarasota/Bradenton	Sarasota–Bradenton International Airport	Small Hub
STC	MN	St. Cloud	St. Cloud Regional Airport	Non-Hub
STL	MS	St. Louis	St. Louis Lambert International Airport	Medium Hub
STS	CA	Santa Rosa	Charles M. Schulz–Sonoma County Airport	Non-Hub
STT	VI	Charlotte Amalie, St. Thomas	Cyril E. King Airport	Small Hub
STX	VI	Christiansted, St. Croix	Henry E. Rohlsen Airport	Non-Hub
SUN	ID	Hailey	Friedman Memorial Airport	Non-Hub
SUX	IA	Sioux City	Sioux Gateway Airport (Col. Bud Day Field)	Non-Hub
SWF	NY	Newburgh	Stewart International Airport	Non-Hub
SYR	NY	Syracuse	Syracuse Hancock International Airport	Small Hub
TLH	FL	Tallahassee	Tallahassee International Airport	Non-Hub
TOL	OH	Toledo	Toledo Express Airport	Non-Hub
TPA	FL	Tampa	Tampa International Airport	Large Hub
TRI	TN	Bristol/Johnson City/Kingsport	Tri-Cities Regional Airport (Tri-Cities Regional TN/VA)	Non-Hub
TTN	NJ	Trenton	Trenton Mercer Airport	Non-Hub
TUL	OK	Tulsa	Tulsa International Airport	Small Hub
TUS	AZ	Tucson	Tucson International Airport	Small Hub
TVC	MI	Traverse City	Cherry Capital Airport	Non-Hub
TWF	ID	Twin Falls	Magic Valley Regional Airport (Joslin Field)	Non-Hub
TXK	AR	Texarkana	Texarkana Regional Airport (Webb Field)	Non-Hub
TYR	TX	Tyler	Tyler Pounds Regional Airport	Non-Hub
TYS	TN	Knoxville	McGhee Tyson Airport	Small Hub
UIN	IL	Quincy	Quincy Regional Airport (Baldwin Field)	Non-Hub
UNK	AK	Unalakleet	Unalakleet Airport	Non-Hub
UNV	PA	State College	University Park Airport	Non-Hub
VDZ	AK	Valdez	Valdez Airport (Pioneer Field)	Non-Hub
VLD	GA	Valdosta	Valdosta Regional Airport	Non-Hub
VPS	FL	Valparaiso	Destin–Fort Walton Beach Airport/Eglin Air Force Base	Non-Hub
VQS	PR	Vieques	Antonio Rivera Rodríguez Airport	Non-Hub
VRB	FL	Vero Beach	Vero Beach Regional Airport	Non-Hub
WRG	AK	Wrangell	Wrangell Airport	Non-Hub
WST	RI	Westerly	Westerly State Airport	Non-Hub
XNA	AR	Fayetteville	Northwest Arkansas Regional Airport	Small Hub
YAK	AK	Yakutat	Yakutat Airport	Non-Hub
YKM	WA	Yakima	Yakima Air Terminal (McAllister Field)	Non-Hub
YNG	OH	Youngstown/Warren	Youngstown-Warren Regional Airport/Youngstown ARS	Non-Hub


