Red-lored			Amazon	Amazona autumnalis	Amazona		Psittacidae	Psittaciformes	
Yellow-crowned			Amazon	Amazona ochrocephala	Amazona		Psittacidae	Psittaciformes	
Orange-winged			Amazon	Amazona amazonica	Amazona		Psittacidae	Psittaciformes	
Turquoise-fronted			Amazon	Amazona aestiva	Amazona		Psittacidae	Psittaciformes	
Salvin's			Amazon	Amazona autumnalis salvini	Amazona		Psittacidae	Psittaciformes	
Yellow-billed			Amazon	Amazona collaria	Amazona		Psittacidae	Psittaciformes	
Puerto Rican			Amazon	Amazona vittata	Amazona		Psittacidae	Psittaciformes	
Red-browed			Amazon	Amazona rhodocorytha	Amazona		Psittacidae	Psittaciformes	
Saint Lucia			Amazon	Amazona versicolor	Amazona		Psittacidae	Psittaciformes	
Red-necked			Amazon	Amazona arausiaca	Amazona		Psittacidae	Psittaciformes	
Diademed			Amazon	Amazona diadema	Amazona		Psittacidae	Psittaciformes	
Red-spectacled			Amazon	Amazona pretrei	Amazona		Psittacidae	Psittaciformes	
Red-crowned			Amazon	Amazona viridigenalis	Amazona		Psittacidae	Psittaciformes	
Imperial			Amazon	Amazona imperialis	Amazona		Psittacidae	Psittaciformes	
Lilacine			Amazon	Amazona lilacina	Amazona		Psittacidae	Psittaciformes	
Cuban			Amazon	Amazona leucocephala	Amazona		Psittacidae	Psittaciformes	
Blue-cheeked			Amazon	Amazona dufresniana	Amazona		Psittacidae	Psittaciformes	
Yellow-shouldered			Amazon	Amazona barbadensis	Amazona		Psittacidae	Psittaciformes	
Tres Marías			Amazon	Amazona tresmariae	Amazona		Psittacidae	Psittaciformes	
Saint Vincent			Amazon	Amazona guildingii	Amazona		Psittacidae	Psittaciformes	
Red-tailed			Amazon	Amazona brasiliensis	Amazona		Psittacidae	Psittaciformes	
Northern Mealy			Amazon	Amazona guatemalae	Amazona		Psittacidae	Psittaciformes	
Hispaniolan			Amazon	Amazona ventralis	Amazona		Psittacidae	Psittaciformes	
Yucatan			Amazon	Amazona xantholora	Amazona		Psittacidae	Psittaciformes	
Kawall's			Amazon	Amazona kawalli	Amazona		Psittacidae	Psittaciformes	
Scaly-naped			Amazon	Amazona mercenarius	Amazona		Psittacidae	Psittaciformes	
Festive			Amazon	Amazona festiva	Amazona		Psittacidae	Psittaciformes	
Black-headed			Caique	Pionites leucogaster	Pionites		Psittacidae	Psittaciformes	
White-bellied			Caique	Pionites leucogaster	Pionites		Psittacidae	Psittaciformes	
Bare-eyed	Little corella		Cockatoo	Cacatua sanguinea	Cacatua		Cacatuidae	Psittaciformes	

Red-sided	New Guinean		Eclectus	Eclectus roratus polychloros	Eclectus		Psittaculidae	Psittaciformes	
